#Rank,University,Town
1510,Cheyney University of Pennsylvania,Cheyney
1511,Menlo College,Atherton ...
1512,West Virginia University at Parkersburg,Parkersburg
1513,Adler Graduate School,Richfield
1514,New York Academy of Art,New York City
1515,Bluefield State College,Bluefield
1516,Northwest Florida State College,Niceville
1517,Livingstone College,Salisbury
1518,American Film Institute Conservatory,Los Angeles
1519,University of Central Oklahoma,Edmond
1520,Johnson University,Knoxville ...
1521,Metropolitan College of New York,New York City
1522,University of Maine at Presque Isle,Presque Isle ...
1523,Rust College,Holly Springs
1524,Stillman College,Tuscaloosa
1525,Salem International University,Salem
1526,New York School of Interior Design,New York City
1527,Truett McConnell University,Cleveland
1528,Hebrew College,Newton Centre
1529,LeMoyne-Owen College,Memphis
1530,The University of Texas Health Science Center at Tyler,Tyler
1531,Parker University,Dallas
1532,Cleveland University-Kansas City,Overland Park
1533,Central Baptist College,Conway
1534,Calumet College of St. Joseph,Whiting
1535,Saybrook University,San Francisco
1536,Young Harris College,Young Harris
1537,Wiley College,Marshall
1538,"Queens College, City University of New York",Flushing
1539,West Virginia Wesleyan College,Buckhannon
1540,Harris-Stowe State University,St. Louis
1541,Miles College,Fairfield
1542,Southwestern Assemblies of God University,Waxahachie
1543,Florida College,Temple Terrace
1544,Clarks Summit University,Clarks Summit
1545,Midland University,Fremont
1546,Cottey College,Nevada
1547,"Columbia College, South Carolina",Columbia
1548,University of Providence,Great Falls
1549,Union Institute & University,Cincinnati
1550,Saint Johns River State College,Palatka
1551,Indiana University East,Richmond
1552,Cincinnati Christian University,Cincinnati
1553,Memphis College of Art,Memphis
1554,Manhattan Christian College,Manhattan
1555,Simpson University,Redding
1556,Palo Alto University,Palo Alto
1557,Jarvis Christian College,Hawkins
1558,Goldey-Beacom College,Wilmington
1559,Maranatha Baptist University,Watertown
1560,University of Saint Mary,Leavenworth ...
1561,Southern College of Optometry,Memphis
1562,Schreiner University,Kerrville
1563,Southern Virginia University,Buena Vista
1564,Point University,West Point
1565,The King's College,New York City
1566,Emmaus Bible College,Dubuque
1567,Allen University,Columbia
1568,Morris College,Sumter
1569,Arizona Christian University,Phoenix
1570,Lincoln Christian University,Lincoln
1571,Mid-America Christian University,Oklahoma City
1572,"Lincoln University, California",Oakland
1573,University of Mount Olive,Mount Olive ...
1574,College of St. Joseph,Rutland ...
1575,Dallas Christian College,Dallas
1576,Criswell College,Dallas
1577,University of Valley Forge,Phoenixville
1578,Ozark Christian College,Joplin
1579,University of Alaska Anchorage,Anchorage
